
CREATED_ON,DELETED_ON,ROLE,GRANTED_TO,GRANTEE_NAME,GRANTED_BY
2023-01-12T14:07:16.775-05:00,2023-01-12T14:08:52.084-05:00,SYSADMIN,USER,SHUBHAM,ACCOUNTADMIN
2022-02-08T16:32:34.153-05:00,2023-04-26T16:15:34.929-04:00,SYSADMIN,USER,ToralParekh,ACCOUNTADMIN
2022-07-07T09:36:17.126-04:00,,SYSADMIN,USER,DOMOCONNECT,ACCOUNTADMIN
2022-09-12T16:58:50.661-04:00,2023-04-26T16:04:17.183-04:00,SYSADMIN,USER,CREN,ACCOUNTADMIN
2022-06-16T11:54:46.329-04:00,2022-06-16T12:28:32.75-04:00,SYSADMIN,USER,INFORMATICAUSER,ACCOUNTADMIN
2022-03-07T14:38:02.079-05:00,2022-06-16T11:54:46.329-04:00,SYSADMIN,USER,INFORMATICAUSER,ACCOUNTADMIN
2022-06-16T12:28:32.75-04:00,,SYSADMIN,USER,INFORMATICAUSER,ACCOUNTADMIN
2023-01-12T14:09:06.41-05:00,2023-04-26T16:04:17.282-04:00,SYSADMIN,USER,SHUBHAM,
2022-03-07T11:52:07.094-05:00,2023-05-19T11:17:01.817-04:00,DITESTER,USER,DHERRICK,SECURITYADMIN
2022-05-20T10:17:06.523-04:00,2023-05-17T14:17:31.463-04:00,DITESTER,USER,MVERMA,SECURITYADMIN
2022-03-07T11:42:13.338-05:00,,DITESTER,USER,MSELVAM,SECURITYADMIN
2023-05-16T14:59:45.026-04:00,,DITESTER,USER,ANDYRUPP,SECURITYADMIN
2022-09-26T15:44:02.217-04:00,,DITESTER,USER,JGHADIGAONKAR,SECURITYADMIN
2022-03-07T11:39:35.425-05:00,,DITESTER,USER,ToralParekh,SECURITYADMIN
2022-05-20T10:08:38.659-04:00,,DITESTER,USER,INFORMATICAUSER,SECURITYADMIN
2022-06-07T15:28:42.524-04:00,2023-04-26T16:12:14.52-04:00,PRODUSERBI,USER,ARUPP,SECURITYADMIN
2022-06-07T16:15:40.839-04:00,2023-04-26T16:11:22.893-04:00,PRODUSERBI,USER,JKYASARAM,SECURITYADMIN
2022-07-26T09:43:17.513-04:00,,PRODUSERBI,USER,NPANJABI,SECURITYADMIN
2022-06-07T15:28:24.909-04:00,,PRODUSERBI,USER,RNAIK,SECURITYADMIN
2022-06-07T15:28:52.314-04:00,,PRODUSERBI,USER,MSELVAM,SECURITYADMIN
2023-05-16T15:00:11.194-04:00,,PRODUSERBI,USER,ANDYRUPP,SECURITYADMIN
2022-11-09T14:10:33.972-05:00,,PRODUSERBI,USER,EBERDICHESKY,SECURITYADMIN
2023-04-26T16:29:46.81-04:00,,PRODUSERBI,USER,SHUBHAM,SECURITYADMIN
2022-07-07T09:36:08.035-04:00,,PRODUSERBI,USER,DOMOCONNECT,SECURITYADMIN
2022-06-07T15:28:34.111-04:00,,PRODUSERBI,USER,CREN,SECURITYADMIN
2022-02-08T16:39:15.585-05:00,,USERADMIN,USER,SVKINFLAKESRV,SECURITYADMIN
2022-02-08T14:55:38.714-05:00,,USERADMIN,USER,MSELVAM,SECURITYADMIN
2023-05-18T15:15:30.518-04:00,,USERADMIN,USER,ANDYRUPP,SECURITYADMIN
2023-01-12T10:34:02.55-05:00,2023-01-12T14:05:17.07-05:00,BIUSER,USER,SHUBHAM,SECURITYADMIN
2022-04-05T16:25:30.007-04:00,2023-04-26T16:12:14.52-04:00,BIUSER,USER,ARUPP,SECURITYADMIN
2022-04-18T11:26:08.881-04:00,2023-04-26T16:12:09.02-04:00,BIUSER,USER,JKYASARAM,SECURITYADMIN
2022-07-26T09:42:44.762-04:00,,BIUSER,USER,NPANJABI,SECURITYADMIN
2022-03-29T11:14:41.552-04:00,,BIUSER,USER,RNAIK,SECURITYADMIN
2022-04-21T09:50:42.348-04:00,,BIUSER,USER,MSELVAM,SECURITYADMIN
2022-03-29T11:15:03.179-04:00,2022-03-29T15:25:35.662-04:00,BIUSER,USER,MSELVAM,SECURITYADMIN
2023-05-16T15:04:01.141-04:00,,BIUSER,USER,ANDYRUPP,SECURITYADMIN
2022-11-09T14:10:23.362-05:00,,BIUSER,USER,EBERDICHESKY,SECURITYADMIN
2023-01-12T14:07:23.475-05:00,,BIUSER,USER,SHUBHAM,SECURITYADMIN
2022-07-07T09:35:37.881-04:00,,BIUSER,USER,DOMOCONNECT,SECURITYADMIN
2022-04-05T16:22:10.055-04:00,,BIUSER,USER,CREN,SECURITYADMIN
2022-03-07T14:18:13.035-05:00,2023-04-26T16:12:26.256-04:00,ORGADMIN,USER,JRIVAS,
2022-03-16T16:20:29.18-04:00,2022-03-16T16:26:07.246-04:00,ORGADMIN,USER,MSELVAM,
2023-05-18T11:06:00.389-04:00,,ORGADMIN,USER,OKHANOUTIN,
2023-05-18T11:09:09.067-04:00,2023-05-18T15:03:29.032-04:00,ORGADMIN,USER,MSELVAM,
2022-03-29T10:42:50.743-04:00,2022-03-29T11:13:11.579-04:00,BIUSER,USER,RNAIK,SECURITYADMIN
2022-03-29T10:53:20.739-04:00,2022-03-29T11:13:11.561-04:00,BIUSER,USER,MSELVAM,SECURITYADMIN
2022-06-07T15:26:26.756-04:00,2023-05-19T11:17:01.817-04:00,PRODUSERDI,USER,DHERRICK,USERADMIN
2022-06-07T15:26:52.36-04:00,2023-05-17T14:17:31.463-04:00,PRODUSERDI,USER,MVERMA,USERADMIN
2022-06-07T15:26:44.26-04:00,,PRODUSERDI,USER,MSELVAM,USERADMIN
2023-05-16T15:00:01.096-04:00,,PRODUSERDI,USER,ANDYRUPP,USERADMIN
2022-09-26T15:44:07.812-04:00,,PRODUSERDI,USER,JGHADIGAONKAR,USERADMIN
2023-05-17T14:34:25.881-04:00,2023-05-17T14:36:33.402-04:00,PRODUSERDI,USER,EBERDICHESKY,USERADMIN
2023-05-17T14:36:40.685-04:00,,PRODUSERDI,USER,EBERDICHESKY,USERADMIN
2023-05-17T14:18:50.691-04:00,2023-05-17T14:33:31.252-04:00,PRODUSERDI,USER,EBERDICHESKY,USERADMIN
2023-05-17T14:33:42.185-04:00,2023-05-17T14:34:10.41-04:00,PRODUSERDI,USER,EBERDICHESKY,USERADMIN
2022-06-07T15:26:35.008-04:00,,PRODUSERDI,USER,ToralParekh,USERADMIN
2022-11-14T11:49:38.871-05:00,2023-05-18T15:03:11.904-04:00,EXTERNALUSER,USER,MSELVAM,ACCOUNTADMIN
2023-05-18T15:02:30.134-04:00,2023-05-18T15:03:59.992-04:00,ACCOUNTADMIN,USER,ANDYRUPP,
2022-02-08T14:46:03.801-05:00,,ACCOUNTADMIN,USER,SVKINFLAKESRV,
2022-01-27T13:46:07.801-05:00,,ACCOUNTADMIN,USER,MSELVAM,
2023-05-18T15:14:52.288-04:00,,ACCOUNTADMIN,USER,ANDYRUPP,
2022-01-27T13:46:07.805-05:00,2022-02-02T10:17:01.266-05:00,ACCOUNTADMIN,USER,SNOWFLAKE,ACCOUNTADMIN
2022-05-04T13:21:33.025-04:00,2022-05-18T16:50:18.829-04:00,SECURITYADMIN,USER,DHERRICK,ACCOUNTADMIN
2022-02-08T14:54:14.099-05:00,,SECURITYADMIN,USER,SVKINFLAKESRV,ACCOUNTADMIN
2022-07-25T10:23:34.064-04:00,2023-04-26T16:12:26.256-04:00,SECURITYADMIN,USER,JRIVAS,ACCOUNTADMIN
2022-02-08T14:55:13.555-05:00,,SECURITYADMIN,USER,MSELVAM,ACCOUNTADMIN
2023-05-18T15:15:16.103-04:00,,SECURITYADMIN,USER,ANDYRUPP,ACCOUNTADMIN
2022-11-28T12:39:11.331-05:00,2022-11-28T12:51:16.448-05:00,SNDBX_USER,USER,MSELVAM,ACCOUNTADMIN
2022-11-28T12:51:24.314-05:00,,SNDBX_USER,USER,MSELVAM,ACCOUNTADMIN
2022-11-28T12:51:12.253-05:00,,SNDBX_USER,USER,EBERDICHESKY,ACCOUNTADMIN
2022-11-28T12:39:03.93-05:00,,SNDBX_USER,USER,CREN,ACCOUNTADMIN
2022-03-07T11:52:15.86-05:00,2023-05-19T11:17:01.817-04:00,DIDEVELOPER,USER,DHERRICK,USERADMIN
2022-05-20T10:17:53.189-04:00,2023-05-17T14:17:31.463-04:00,DIDEVELOPER,USER,MVERMA,USERADMIN
2022-03-07T11:41:55.764-05:00,,DIDEVELOPER,USER,MSELVAM,USERADMIN
2023-05-16T14:59:10.121-04:00,,DIDEVELOPER,USER,ANDYRUPP,USERADMIN
2022-09-26T15:43:57.065-04:00,,DIDEVELOPER,USER,JGHADIGAONKAR,USERADMIN
2022-03-07T11:36:59.301-05:00,,DIDEVELOPER,USER,ToralParekh,USERADMIN
2022-06-30T13:31:22.344-04:00,2022-07-05T13:19:19.301-04:00,DIDEVELOPER,USER,INFORMATICAUSERPRD,USERADMIN
2022-03-07T14:39:46.413-05:00,2022-03-08T14:44:58.796-05:00,DIDEVELOPER,USER,INFORMATICAUSER,USERADMIN
2022-03-08T14:44:58.796-05:00,2022-07-19T16:14:12.282-04:00,DIDEVELOPER,USER,INFORMATICAUSER,USERADMIN
2022-07-19T16:14:12.282-04:00,,DIDEVELOPER,USER,INFORMATICAUSER,USERADMIN
2022-03-16T16:05:56.866-04:00,2023-04-26T16:12:26.256-04:00,DATADIRECTOR,USER,JRIVAS,SECURITYADMIN
2023-05-18T11:07:43.892-04:00,,DATADIRECTOR,USER,OKHANOUTIN,SECURITYADMIN
2022-03-16T16:20:45.333-04:00,2022-03-16T16:25:54.028-04:00,DATADIRECTOR,USER,MSELVAM,SECURITYADMIN
2022-04-07T11:04:07.068-04:00,2023-05-18T15:02:50.45-04:00,DATADIRECTOR,USER,MSELVAM,SECURITYADMIN
2022-02-15T15:47:38.314-05:00,2022-05-02T12:15:48.31-04:00,C_HR,USER,ToralParekh,ACCOUNTADMIN
2022-06-15T11:10:58.331-04:00,2022-07-22T09:49:59.996-04:00,PRODADMINDI,USER,MVERMA,USERADMIN
2022-06-15T11:11:41.035-04:00,,PRODADMINDI,USER,MSELVAM,USERADMIN
2023-05-18T15:03:54.437-04:00,,PRODADMINDI,USER,ANDYRUPP,USERADMIN
2022-06-16T11:40:15.695-04:00,,PRODADMINDI,USER,INFORMATICAUSERPRD,USERADMIN
2022-06-07T15:22:32.757-04:00,2022-06-16T12:00:01.507-04:00,PRODADMINDI,USER,INFORMATICAUSER,USERADMIN
2022-06-16T12:08:21.051-04:00,,PRODADMINDI,USER,INFORMATICAUSER,USERADMIN
2022-06-16T12:00:09.492-04:00,2022-06-16T12:08:21.051-04:00,PRODADMINDI,USER,INFORMATICAUSER,USERADMIN
2023-01-12T10:34:07.212-05:00,2023-01-12T14:05:17.07-05:00,BITESTER,USER,SHUBHAM,SECURITYADMIN
2022-05-20T10:16:15.779-04:00,2023-04-26T16:12:14.52-04:00,BITESTER,USER,ARUPP,SECURITYADMIN
2022-05-20T10:16:50.763-04:00,2023-04-26T16:12:09.02-04:00,BITESTER,USER,JKYASARAM,SECURITYADMIN
2022-07-26T09:42:50.194-04:00,,BITESTER,USER,NPANJABI,SECURITYADMIN
2022-05-20T10:16:30.754-04:00,,BITESTER,USER,RNAIK,SECURITYADMIN
2022-05-20T10:17:25.585-04:00,,BITESTER,USER,MSELVAM,SECURITYADMIN
2023-05-16T15:04:10.48-04:00,,BITESTER,USER,ANDYRUPP,SECURITYADMIN
2022-11-09T14:10:27.508-05:00,,BITESTER,USER,EBERDICHESKY,SECURITYADMIN
2023-01-12T14:07:28.6-05:00,,BITESTER,USER,SHUBHAM,SECURITYADMIN
2022-07-07T09:35:47.91-04:00,,BITESTER,USER,DOMOCONNECT,SECURITYADMIN
2022-05-20T10:16:23.535-04:00,,BITESTER,USER,CREN,SECURITYADMIN
